Date,Total,Male,Female
"20 Mar",761,53,47
"25 Mar",2304,51,49
"27 Mar",3006,52,48
"1 Apr",4320,51,49
"3 Apr",5082,51,49
"7 Apr",5580,51,49
"15 Apr",6036,51,49
"21 Apr",6619,50,50
"28 Apr",6713,50,50
"5 May",6775,50,50
"12 May",6985,51,49
"19 May",7076,51,49
"26 May",7090,51,49
"3 Jun",7166,51,49
"9 Jun",7398,51,49
"23 Jun",7613,51,49
"7 Jul",8670,52,48
"22 Jul",12690,51,49
"4 Aug",18188,50,50
"8 Sep",26234,49,51
"17 Sep",26714,49,51
"1 Oct",26994,48.61,51.39
"14 Oct",27301,48.61,51.39
"27 Oct",27422,48.71,51.29
"11 Nov",27576,48.73,51.27
"24 Nov",27722,48.73,51.27
