Date,Total,Male,Female
"20 Mar",2380,56,44
"27 Mar",7557,53,47
"1 Apr",10372,51,49
"3 Apr",11412,51,49
"8 Apr",12722,50,50
"14 Apr",14106,50,50
"17 Apr",14540,49,51
"21 Apr",14828,49,51
"28 Apr",15314,49,51
"5 May",15585,49,51
"12 May",15902,49,51
"19 May",16268,49,51
"27 May",16513,49,51
"3 Jun",16704,49,51
"9 Jun",16902,49,51
"23 Jun",17328,49,51
"20 Jul",19764,50,50
"3 Aug",21428,50,50
"17 Aug",23775,51,49
"31 Aug",27451,51,49
"14 Sep",34293,52,48
"28 Sep",44607,52,48
"14 Oct",57762,52,48
"27 Oct",87746,51,49
"12 Nov",182065,50.46,49.54
"27 Nov",278185,49.41,50.59
