Date,Total,Male,Female
"25 Mar",1312,55,45
"1 Apr",2844,52,48
"3 Apr",3420,51,49
"7 Apr",4568,49,51
"14 Apr",5990,48,52
"21 Apr",6688,48,52
"28 Apr",7393,48,52
"5 May",7716,48,52
"13 May",8085,48,52
"19 May",8362,48,52
"25 May",8778,49,51
"1 Jun",9065,50,50
"9 Jun",9412,50,50
"23 Jun",10182,50,50
"6 Jul",11893,53,47
"21 Jul",13277,53,47
"4 Aug",16051,53,47
"1 Sep",23102,53,47
"15 Sep",33755,53,47
"30 Sep",59981,51.69,48.31
"14 Oct",118024,50.22,49.78
"27 Oct",264381,48.4,51.6
"10 Nov",405145,47.81,52.19
"25 Nov",490186,47.65,52.35
