Date,Total,Male,Female
"20 Mar",35064,59,41
"23 Mar",57444,58,42
"30 Mar",93755,56,44
"2 Apr",105795,55,45
"6 Apr",124162,53,47
"9 Apr",135813,52,48
"16 Apr",158727,50,50
"23 Apr",176716,49,51
"28 Apr",199035,47,53
"7 May",213699,47,53
"14 May",221895,46,54
"20 May",227169,46,54
"26 May",230778,46,54
"3 Jun",234086,46,54
"16 Jun",238050,46,54
"30 Jun",240435,46,54
"14 Jul",243297,46,54
"28 Jul",246409,46,54
"25 Aug",260288,47,53
"8 Sep",278574,47,53
"22 Sep",298985,47.5,52.5
"6 Oct",327357,47.99,52.01
"27 Oct",538324,49.1,50.9
"1 Nov",844556,49.29,50.71
"15 Nov",1231343,49.06,50.94
