Date,Total,Male,Female
"24 Mar",5531,50,50
"26 Mar",8576,50,50
"1 Apr",13599,50,50
"3 Apr",15704,49,51
"7 Apr",19558,47,53
"14 Apr",27381,42,58
"21 Apr",34089,39,61
"28 Apr",38365,38,62
"5 May",41034,37,63
"12 May",42929,37,63
"19 May",44196,37,63
"26 May",45488,37,63
"2 Jun",46556,37,63
"9 Jun",47811,37,63
"23 Jun",49631,38,62
"7 Jul",50603,38,62
"21 Jul",51982,38,62
"27 Jul",55864,39,61
"1 Sep",71038,41,59
"15 Sep",84686,42,58
"29 Sep",117459,43.3,56.7
"13 Oct",188785,44.53,55.47
"27 Oct",311798,45.37,54.63
"3 Nov",375798,45.54,54.46
"17 Nov",456911,45.6,54.4
