Date,Total,Male,Female
"20 Mar",1742,56,44
"24 Mar",2916,53,47
"26 Mar",3581,52,48
"1 Apr",4655,51,49
"2 Apr",5208,51,49
"6 Apr",5863,50,50
"13 Apr",6566,50,50
"20 Apr",7166,49,51
"28 Apr",7605,49,51
"5 May",7903,50,50
"12 May",8135,50,50
"18 May",8257,50,50
"26 May",8364,50,50
"2 Jun",8446,50,50
"10 Jun",8576,50,50
"23 Jun",8751,50,50
"7 Jul",8936,50,50
"20 Jul",9038,50,50
"4 Aug",9333,50,50
"1 Sep",10783,51,49
"15 Sep",12277,51,49
"13 Oct",15639,52.54,47.46
"27 Oct",18341,53.38,46.62
"10 Nov",25321,53.82,46.18
"25 Nov",33714,53.29,46.71
