Date,Total,Male,Female
"24 Mar",2995,47,53
"26 Mar",4264,46,54
"31 Mar",8251,45,55
"3 Apr",9886,44,56
"7 Apr",12442,43,57
"13 Apr",17448,41,59
"20 Apr",21379,41,59
"27 Apr",24322,41,59
"3 May",25524,41,59
"10 May",27679,41,59
"17 May",29209,41,59
"25 May",31007,42,58
"31 May",32700,43,57
"8 Jun",34885,43,57
"22 Jun",39392,44,56
"2 Jul",42782,44,56
"19 Jul",48771,44,56
"3 Aug",51681,45,55
"31 Aug",58012,45,55
"14 Sep",64596,45,55
"28 Sep",74029,45.32,54.68
"14 Oct",91193,45.54,54.46
"26 Oct",121133,45.55,54.45
"9 Nov",183420,45.3,54.7
"23 Nov",263840,44.97,55.03
