Date,Total,Male,Female
"16 Mar",267,40,60
"22 Mar",965,55,45
"30 Mar",2951,49,51
"31 Mar",3235,49,51
"2 Apr",3233,49,51
"5 Apr",5540,47,53
"12 Apr",10246,45,55
"19 Apr",15303,44,56
"27 Apr",19666,42,58
"5 May",21597,42,58
"6 May",22237,43,57
"24 May",24591,43,57
"31 May",25025,43,57
"6 Jun",25165,43,57
"20 Jun",25349,43,57
"4 Jul",25497,43,57
"19 Jul",25738,43,57
"29 Jul",25999,43,57
"30 Aug",28780,44,56
"13 Sep",31157,44,56
"26 Sep",34958,44.89,55.11
"10 Oct",42483,45.82,54.18
"21 Oct",54433,46.63,53.37
"8 Nov",65599,46.99,53.01
"24 Nov",71126,47.05,52.95
