Date,Total,Male,Female
"19 Mar",8652,38,62
"24 Mar",9037,39,61
"26 Mar",9332,39,61
"1 Apr",9887,40,60
"3 Apr",10062,40,60
"7 Apr",10331,40,60
"14 Apr",10564,40,60
"21 Apr",10683,40,60
"28 Apr",10752,40,60
"5 May",10804,41,59
"12 May",10936,41,59
"19 May",11078,41,59
"26 May",11225,42,58
"2 Jun",11541,42,58
"9 Jun",11852,42,58
"23 Jun",12484,43,57
"7 Jul",13181,43,57
"21 Jul",13816,44,56
"4 Aug",14423,45,55
"1 Sep",20182,45,55
"17 Sep",22657,46,54
"29 Sep",23699,45.94,54.06
"13 Oct",24805,46.54,53.47
"27 Oct",26043,46.54,53.46
"10 Nov",27653,46.79,53.21
"25 Nov",31735,47.52,52.48
