Date,Total,Male,Female
"20 Mar",1623,53,47
"25 Mar",2510,53,47
"27 Mar",3046,53,47
"31 Mar",4435,52,48
"1 Apr",6078,51,49
"7 Apr",7693,50,50
"14 Apr",11445,49,51
"21 Apr",15322,47,53
"28 Apr",19621,45,55
"5 May",23216,44,56
"12 May",27272,43,57
"19 May",30799,42,58
"27 May",34440,41,59
"3 Jun",40803,40,60
"9 Jun",45924,40,60
"23 Jun",60837,41,59
"7 Jul",73344,41,59
"21 Jul",78166,41,59
"4 Aug",81181,42,58
"1 Sep",84521,43,57
"16 Sep",87345,43,57
"29 Sep",92466,43.45,56.55
"13 Oct",100654,44,56
"27 Oct",115763,44.78,55.22
"10 Nov",162240,45.98,54.02
"24 Nov",225560,46.32,53.68
