Date,Total,Male,Female
"19 Mar",4840,49,51
"24 Mar",8836,49,51
"27 Mar",12161,49,51
"31 Mar",16176,48,52
"3 Apr",19303,48,52
"7 Apr",22242,47,53
"13 Apr",25580,47,53
"21 Apr",28028,46,54
"29 Apr",29376,46,54
"6 May",30029,46,54
"13 May",30388,46,54
"19 May",30590,46,54
"27 May",30748,46,54
"3 Jun",30865,46,54
"9 Jun",30963,46,54
"23 Jun",31306,46,54
"8 Jul",32473,46,54
"21 Jul",33716,46,54
"4 Aug",35720,47,53
"1 Sep",42363,48,52
"15 Sep",47722,48,52
"28 Sep",52615,48.13,51.87
"13 Oct",65847,48.97,51.03
"27 Oct",126997,49.46,50.54
"10 Nov",235142,48.76,51.24
"26 Nov",313900,48.17,51.83
