Date,Total,Male,Female
"25 Mar",4909,50,50
"27 Mar",7246,50,50
"31 Mar",13907,48,52
"2 Apr",16735,46,54
"6 Apr",22125,45,55
"13 Apr",30929,42,58
"20 Apr",40795,38,62
"28 Apr",47682,37,63
"5 May",50320,37,63
"11 May",53258,37,63
"18 May",55564,37,63
"25 May",57221,37,63
"2 Jun",58376,37,63
"9 Jun",59110,37,63
"19 Jun",60567,37,63
"5 Jul",61808,37,63
"20 Jul",63923,38,62
"3 Aug",70114,39,61
"30 Aug",84896,41,59
"9 Sep",93936,42,58
"29 Sep",116680,42.94,57.06
"12 Oct",165113,44.5,55.5
"27 Oct",332694,45.51,54.49
"9 Nov",502027,44.99,55.01
"23 Nov",558644,44.74,55.26
