Date,Total,Male,Female
"20 Mar",846,54,46
"24 Mar",2792,53,47
"26 Mar",4043,52,48
"31 Mar",7708,51,49
"2 Apr",6429,49,51
"6 Apr",8797,48,52
"13 Apr",15346,46,54
"20 Apr",20515,45,55
"27 Apr",26638,44,56
"5 May",32531,45,55
"11 May",35138,45,55
"18 May",38176,45,55
"25 May",41647,45,55
"1 Jun",87784,43,57
"9 Jun",95874,43,57
"23 Jun",101276,44,56
"6 Jul",104312,44,56
"21 Jul",109825,44,56
"3 Aug",115235,45,55
"1 Sep",123917,45,55
"15 Sep",130154,45,55
"12 Oct",167731,46.33,53.67
"27 Oct",209420,46.94,53.06
"10 Nov",255548,47.39,52.61
"25 Nov",325975,47.69,52.31
