Table with row headers in column A and column headers in rows 6 through 10,,,,,,,,,,,,,,
Table A3. ,,,,,,,,,,,,,,
"Percentage of People Without Health Insurance Coverage by State: 2010, 2018, and 2019",,,,,,,,,,,,,,
"(Numbers in thousands. Civilian noninstitutionalized population.  For information on confidentiality protection, sampling error, nonsampling error, and definitions, see www2.census.gov/programs-surveys/acs/tech_docs/accuracy/ACS_Accuracy_of_Data_2019.pdf) ",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
State,Medicaid Expansion State?        Yes (Y) or No (N)1,2010 Uninsured,,2018 Uninsured,,2019 Uninsured,,Difference in Uninsured,,,,,,
,,,,,,,,2019 less 2018,,2019 less 2010,,,,
,,,,,,,,,,,,,,
,,,Margin of ,,Margin of ,,Margin of ,,Margin of ,,Margin of ,,,
,,Percent,Error2 (±) ,Percent,Error2 (±) ,Percent,Error2 (±) ,Percent,Error2 (±) ,Percent,Error2 (±) ,,,
,,,,,,,,,,,,,,
United States…………..,               X,15.5,0.1,8.9,0.1,9.2,0.1,*0.3,0.1,*-6.3,0.1,,,
,,,,,,,,,,,,,,
Alabama……………………………….,N,14.6,0.4,10.0,0.3,9.7,0.3,-0.3,0.4,*-4.9,0.5,,,
Alaska……………………………………..,+Y,19.9,1.1,12.6,0.9,12.2,0.8,-0.4,1.2,*-7.6,1.3,,,
Arizona…………………………………..,Y,16.9,0.3,10.6,0.3,11.3,0.3,*0.7,0.5,*-5.6,0.5,,,
Arkansas……………………………….,Y,17.5,0.5,8.2,0.3,9.1,0.4,*0.9,0.5,*-8.3,0.7,,,
California………………………………,Y,18.5,0.2,7.2,0.1,7.7,0.1,*0.5,0.2,*-10.8,0.2,,,
Colorado……………………………….,Y,15.9,0.5,7.5,0.3,8.0,0.3,*0.5,0.4,*-7.9,0.5,,,
Connecticut…………………………,Y,9.1,0.3,5.3,0.3,5.9,0.3,*0.6,0.4,*-3.2,0.5,,,
Delaware……………………………….,Y,9.7,0.8,5.7,0.7,6.6,0.6,0.9,0.9,*-3.1,1.0,,,
District of Columbia…………..,Y,7.6,0.7,3.2,0.5,3.5,0.6,0.4,0.8,*-4.1,0.9,,,
Florida……………………………………,N,21.3,0.3,13.0,0.2,13.2,0.2,0.2,0.3,*-8.1,0.3,,,
,,,,,,,,,,,,,,
Georgia…………………………………,N,19.7,0.4,13.7,0.3,13.4,0.3,-0.2,0.4,*-6.3,0.5,,,
Hawaii…………………………………….,Y,7.9,0.5,4.1,0.4,4.2,0.4,0.1,0.5,*-3.7,0.6,,,
Idaho……………………………………..,N,17.7,0.7,11.1,0.6,10.8,0.5,-0.3,0.8,*-6.9,0.9,,,
Illinois……………………………………..,Y,13.8,0.2,7.0,0.2,7.4,0.2,*0.4,0.3,*-6.4,0.3,,,
Indiana…………………………………..,+Y,14.8,0.3,8.3,0.3,8.7,0.3,*0.5,0.4,*-6.1,0.4,,,
Iowa………………………………………..,Y,9.3,0.3,4.7,0.3,5.0,0.3,0.3,0.4,*-4.3,0.5,,,
Kansas…………………………………..,N,13.9,0.4,8.8,0.4,9.2,0.4,0.4,0.5,*-4.7,0.6,,,
Kentucky………………………………,Y,15.3,0.4,5.6,0.3,6.4,0.3,*0.8,0.4,*-8.8,0.5,,,
Louisiana………………………………,#Y,17.8,0.4,8.0,0.3,8.9,0.3,*0.9,0.4,*-8.9,0.5,,,
Maine……………………………………..,N,10.1,0.5,8.0,0.5,8.0,0.5,Z,0.7,*-2.1,0.7,,,
,,,,,,,,,,,,,,
Maryland………………………………,Y,11.3,0.3,6.0,0.2,6.0,0.3,Z,0.4,*-5.3,0.4,,,
Massachusetts…………………..,Y,4.4,0.2,2.8,0.2,3.0,0.2,*0.2,0.2,*-1.4,0.3,,,
Michigan……………………………….,^Y,12.4,0.2,5.4,0.1,5.8,0.2,*0.4,0.2,*-6.6,0.3,,,
Minnesota…………………………….,Y,9.1,0.3,4.4,0.2,4.9,0.2,*0.5,0.3,*-4.2,0.3,,,
Mississippi…………………………….,N,18.2,0.5,12.1,0.4,13.0,0.5,*0.8,0.7,*-5.2,0.7,,,
Missouri…………………………………,N,13.2,0.3,9.4,0.3,10.0,0.3,*0.6,0.4,*-3.1,0.4,,,
Montana……………………………….,+Y,17.3,0.7,8.2,0.5,8.3,0.5,0.1,0.7,*-9.1,0.9,,,
Nebraska………………………………,N,11.5,0.4,8.3,0.4,8.3,0.4,Z,0.6,*-3.2,0.6,,,
Nevada…………………………………,Y,22.6,0.6,11.2,0.4,11.4,0.5,0.2,0.6,*-11.2,0.7,,,
New Hampshire…………………..,^Y,11.1,0.7,5.7,0.4,6.3,0.6,0.5,0.7,*-4.9,0.9,,,
,,,,,,,,,,,,,,
