Date,Total,Male,Female
"1 Jan",1723,50,50
"30 Mar",2374,50,50
"1 Apr",2938,50,50
"5 Apr",4346,50,50
"12 Apr",7412,50,50
"19 Apr",10451,49,51
"27 Apr",14362,50,50
"1 May",18433,51,49
"7 May",25952,53,47
"15 May",39511,53,47
"21 May",61848,53,47
"29 May",90634,53,47
"5 Jun",122495,53,47
"19 Jun",231442,52,48
"5 Jul",309356,52,48
"17 Jul",346486,52,48
"2 Aug",382115,52,48
"27 Aug",438224,51,49
"10 Sep",468544,51,49
"28 Sep",496412,50.95,49.05
"12 Oct",511782,50.89,49.11
"26 Oct",551575,50.78,49.22
"9 Nov",572664,50.7,49.3
"23 Nov",595629,50.64,49.36
