Date,Total,Male,Female
"20 Mar",1216,63,37
"25 Mar",1715,60,40
"27 Mar",2010,58,42
"31 Mar",2815,54,46
"3 Apr",3672,50,50
"7 Apr",4978,46,54
"14 Apr",6496,44,56
"21 Apr",7695,43,57
"28 Apr",8851,42,58
"6 May",9938,42,58
"12 May",10591,42,58
"19 May",11044,42,58
"26 May",11428,42,58
"3 Jun",11771,42,58
"10 Jun",11962,42,58
"23 Jun",12561,43,57
"7 Jul",12888,43,57
"21 Jul",13302,43,57
"4 Aug",14073,44,56
"1 Sep",17084,46,54
"15 Sep",20571,46,54
"13 Oct",33101,48.15,51.85
"10 Nov",56958,49.4,50.6
"23 Nov",71654,49.86,50.14
