Date,Total,Male,Female
"31 Mar",2302,54,46
"2 Apr",3163,55,45
"6 Apr",3747,55,45
"13 Apr",7529,58,42
"20 Apr",10128,59,41
"28 Apr",15728,55,45
"3 May",20757,55,45
"10 May",20622,56,44
"19 May",25195,56,44
"25 May",28399,56,44
"29 May",29615,56,44
"21 Jun",50640,55,45
"5 Jul",62380,55,45
"20 Jul",74620,54,46
"4 Aug",87963,54,46
"31 Aug",113767,53,47
"15 Sep",118911,53,47
"1 Oct",138584,52.89,47.11
"13 Oct",148171,52.86,47.14
"26 Oct",162178,53,47
"6 Nov",172508,52.94,47.06
"22 Nov",185643,53.01,46.99
