Date,Total,Male,Female
"20 Mar",16603,57,43
"24 Mar",27344,55,45
"26 Mar",36378,54,46
"31 Mar",61672,52,48
"2 Apr",73552,52,48
"7 Apr",99226,50,50
"13 Apr",123016,49,51
"20 Apr",141672,48,52
"28 Apr",156337,48,52
"5 May",163860,48,52
"12 May",170508,48,52
"18 May",174697,48,52
"26 May",179002,48,52
"2 Jun",182028,48,52
"9 Jun",184457,48,52
"22 Jun",190431,48,52
"7 Jul",196522,48,52
"21 Jul",202328,49,51
"4 Aug",210812,49,51
"1 Sep",243600,49,51
"17 Sep",265019,50,50
"30 Sep",288218,49.71,50.29
"13 Oct",328118,49.92,50.08
"27 Oct",446424,50.05,49.95
"10 Nov",699343,49.82,50.18
"24 Nov",975893,49.22,50.78
