Date,Total,Male,Female
"20 Mar",230,66,34
"1 Apr",2311,62,38
"3 Apr",3018,60,40
"7 Apr",3246,60,40
"14 Apr",5223,55,45
"21 Apr",6597,53,47
"28 Apr",7955,54,46
"4 May",9485,55,45
"12 May",11350,54,46
"18 May",12718,54,46
"24 May",14035,54,46
"30 May",17224,55,45
"9 Jun",22474,56,44
"23 Jun",30682,56,44
"3 Jul",40336,56,44
"20 Jul",68898,56,44
"3 Aug",106330,56,44
"1 Sep",194842,55,45
"13 Sep",261216,56,44
"28 Sep",307288,55.27,44.73
"13 Oct",344713,55.05,44.95
"27 Oct",373144,54.85,45.15
"10 Nov",399749,54.69,45.31
"25 Nov",422915,54.59,45.41
