Date,Total,Male,Female
"24 Mar",688974,46.62,53.38
"30 Mar",688974,46.62,53.38
"1 Apr",688974,46.62,53.38
"3 Apr",688974,46.62,53.38
"7 Apr",688974,46.62,53.38
"13 Apr",688974,46.62,53.38
"20 Apr",688974,46.62,53.38
"28 Apr",688974,46.62,53.38
"4 May",688974,46.62,53.38
"11 May",688974,46.62,53.38
"18 May",688974,46.62,53.38
"21 May",688974,46.62,53.38
"30 May",688974,46.62,53.38
"21 Jul",688974,46.62,53.38
"30 Jul",688974,46.62,53.38
"27 Aug",688974,46.62,53.38
"9 Sep",688974,46.62,53.38
"7 Oct",831180,46.75,53.25
"21 Oct",1000131,46.91,53.09
"6 Nov",1296343,46.95,53.05
"18 Nov",1521835,46.91,53.09
