"","State","Date","Total_cc","Male_cc","Female_cc","Male_per_cc","Female_per_cc","Male_cr_cc","Female_cr_cc","Total_D","Male_d","Female_d","Male_per_d","Female_per_d","Male_cr_d","Female_cr_d","Source","2018 Pop","2019 Pop","Medicaid Expand","2018 Uninsured","2019 Uninsured","Difference","Median Income","Percent Pov","case_ratio","death_ratio"
"1","Alabama",2020-04-13,4572,1876,2615,41.03,57.2,79.63,104.24,"96",56,40,58.8,41.2,2.36,1.58,"https://alpublichealth.maps.arcgis.com/apps/opsdashboard/index.html#/6d2771faa9da4a2786a509d82c8cf0f7",NA,NA,NA,NA,NA,NA,NA,NA,0.717399617590822,1.4
"2","Alaska",2020-04-13,272,134,138,49.3,50.7,34.78,39.07,"8",NA,NA,NA,NA,0,0,"https://coronavirus-response-alaska-dhss.hub.arcgis.com/","4,887,681","4,903,185","+Y","12.6","12.2","-0.4","68,734","12.6",0.971014492753623,NA
"3","Alaska",2020-04-13,272,134,138,49.3,50.7,34.78,39.07,"8",NA,NA,NA,NA,0,0,"https://coronavirus-response-alaska-dhss.hub.arcgis.com/","735,139","731,545","+Y","12.6","12.2","-0.4","68,734","12.6",0.971014492753623,NA
"4","Arizona",2020-04-13,3539,1663,1876,47,53,48.16,53.69,"169",100,69,59,41,2.89,1.98,"https://www.azdhs.gov/preparedness/epidemiology-disease-control/infectious-disease-epidemiology/index.php#novel-coronavirus-home","7,158,024","7,278,717","Y","10.6","11.3","*0.7","62,283","13.2",0.886460554371002,1.44927536231884
"5","Arkansas",2020-04-13,1280,552,728,43.1,56.9,37.57,47.84,"27",NA,NA,NA,NA,0,0,"https://www.healthy.arkansas.gov/programs-services/topics/novel-coronavirus","3,009,733","3,017,804","Y","8.2","9.1","*0.9","49,781","15.4",0.758241758241758,NA
"6","California",2020-04-13,21794,10926,10571,50.13,48.5,56.16,53.67,"651",NA,NA,NA,NA,0,0,"https://update.covid19.ca.gov/","39,461,588","39,512,223","Y","7.2","7.7","*0.5","70,489","12.0",1.03358244253145,NA
"7","Colorado",2020-04-13,7303,3451,3814,47.25,52.23,124.09,138.69,"290",178,111,61.38,38.38,6.4,4.05,"https://covid19.colorado.gov/case-data","5,691,287","5,758,736","Y","7.5","8.0","*0.5","73,034","9.0",0.904824331410593,1.6036036036036
"8","Connecticut",2020-04-13,16809,8852,7654,52.66,45.54,506.66,417.25,"1036",545,485,52.61,46.81,31.19,26.44,"https://portal.ct.gov/Coronavirus","3,571,520","3,565,287","Y","5.3","5.9","*0.6","72,812","10.4",1.15651946694539,1.12371134020619
"9","Delaware",2020-04-13,1625,NA,NA,NA,NA,0,0,"35",NA,NA,NA,NA,0,0,"https://myhealthycommunity.dhss.delaware.gov/locations/state","965,479","973,764","Y","5.7","6.6","0.9","65,012","8.1",NA,NA
"10","District of Columbia",2020-04-13,1875,967,902,51.57,48.11,297.65,250.82,"50",NA,NA,NA,NA,0,0,"https://coronavirus.dc.gov/release/coronavirus-data-april-30-2020","701,547","705,749","Y","3.2","3.5","0.4",NA,"14.3",1.07206208425721,NA
